name,min megahertz,max megahertz,min megabytes,max megabytes,mem_level:portal2,min megatexels,max megatexels,gpu_mem_level:portal2,mat_triplebuffered:portal2,min_processor_count,max_processor_count,cpu_level:portal2,VendorID,MinDeviceID,MaxDeviceID,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,MakeMeLast,Laptop:base,MinDxLevel:base,MaxDxLevel:base,DxLevel:base,CentroidHack:base,NoUserClipPlanes:base,PreferZPrepass:base,DisableShaderOptimizations:base,SuppressPixelShaderCentroidHackFixup:base,PreferTexturesInHWMemory:base,PreferHardwareSync:base,Unsupported:portal2,DefaultRes:portal2,DefaultResHeight:portal2,gpu_level:portal2,mat_antialias:portal2,mat_forceaniso:portal2,mat_grain_scale_override:portal2,mat_tonemapping_occlusion_use_stencil:portal2,mat_vsync:portal2,videoconfig_version:portal2
90,,,,,,,,,,,,,,,,,,,,,,90,90,90,0,0,0,,,0,1,,800,600,0,,,1,0,1,
92,,,,,,,,,,,,,,,,,,,,,,90,92,92,0,0,0,,,0,1,,1024,768,1,,,1,0,1,
95,,,,,,,,,,,,,,,,,,,,,,90,95,95,0,0,0,,,0,1,,1024,768,2,,,1,0,1,
97,,,,,,,,,,,,,,,,,,,,,,97,97,97,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
98,,,,,,,,,,,,,,,,,,,,,,98,98,98,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
100,,,,,,,,,,,,,,,,,,,,,,92,100,100,0,0,0,,,0,1,,1600,1200,3,4,4,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [0-1024),,,0,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1024-1536),,,1200,1800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1536-),,,1800,65535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,,140,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,,300,530,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [512-infinity),,,,,,530,65535,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_level_0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_1,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level 2,,,,,,,,,,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI 3D Rage IIC PCI,,,,,,,,,,,,,0x1002,0x4756,0x4756,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI RAGE IIC AGP ,,,,,,,,,,,,,0x1002,0x4757,0x4757,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Graphics Pro Turbo PCI ,,,,,,,,,,,,,0x1002,0x4758,0x4758,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Technologies Inc. 3D RAGE IIC PCI,,,,,,,,,,,,,0x1002,0x4759,0x4759,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage IIC AGP,,,,,,,,,,,,,0x1002,0x475a,0x475a,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9000,,,,,,,,,,,,,0x1002,0x4966,0x4966,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon 9000,,,,,,,,,,,,,0x1002,0x496e,0x496e,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4a48,0x4a4c,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI FireGL X3-256,,,,,,,,,,,,,0x1002,0x4a4d,0x4a4d,,,,,,,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Mobility Radeon 9800,,,,,,,,,,,,,0x1002,0x4a4e,0x4a4e,,,,,,1,,,92,1,,,,,,,1,800,600,0,0,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4a4f,0x4a50,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4a54,0x4a54,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4a69,0x4a6b,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI FireGL X3-256,,,,,,,,,,,,,0x1002,0x4a6d,0x4a6d,,,,,,,,,92,1,,,,,,,,1024,768,0,0,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4a70,0x4a70,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4a74,0x4a74,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4b49,0x4b49,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x4b4b,0x4b4b,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X800,,,,,,,,,,,,,0x1002,0x4b4c,0x4b4c,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x4b57,0x4b57,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x4b69,0x4b69,,,,,,,,,,1,,,,,,,,1280,1024,0,2,0,1,,,
ATI Radeon X850,,,,,,,,,,,,,0x1002,0x4b6b,0x4b6c,,,,,,,,,,1,,,,,,,,1280,1024,1,2,0,1,,,
ATI 3D Rage LT Pro AGP 2X,,,,,,,,,,,,,0x1002,0x4c42,0x4c42,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage Mobility 128,,,,,,,,,,,,,0x1002,0x4c46,0x4c46,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI 3D Rage LT Pro PCI,,,,,,,,,,,,,0x1002,0x4c49,0x4c49,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage Mobility,,,,,,,,,,,,,0x1002,0x4c4d,0x4c4d,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI 3D Rage LT Pro,,,,,,,,,,,,,0x1002,0x4c50,0x4c50,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
ATI Rage Mobility,,,,,,,,,,,,,0x1002,0x4c52,0x4c52,,,,,,,,,,,,,,,,,1,800,600,0,0,0,1,,,
