name,min megahertz,max megahertz,min megabytes,max megabytes,mem_level:portal2,min megatexels,max megatexels,gpu_mem_level:portal2,mat_triplebuffered:portal2,min_processor_count,max_processor_count,cpu_level:portal2,VendorID,MinDeviceID,MaxDeviceID,m_nDriverVersion_BuildHigh,m_nDriverVersion_BuildLow,m_nDriverVersion_Vista_BuildHigh,m_nDriverVersion_Vista_BuildLow,MakeMeLast,Laptop:base,MinDxLevel:base,MaxDxLevel:base,DxLevel:base,CentroidHack:base,NoUserClipPlanes:base,PreferZPrepass:base,DisableShaderOptimizations:base,SuppressPixelShaderCentroidHackFixup:base,PreferTexturesInHWMemory:base,PreferHardwareSync:base,Unsupported:portal2,DefaultRes:portal2,DefaultResHeight:portal2,gpu_level:portal2,mat_antialias:portal2,mat_forceaniso:portal2,mat_grain_scale_override:portal2,mat_tonemapping_occlusion_use_stencil:portal2,mat_vsync:portal2,videoconfig_version:portal2
90,,,,,,,,,,,,,,,,,,,,,,90,90,90,0,0,0,,,0,1,,800,600,0,,,1,0,1,
92,,,,,,,,,,,,,,,,,,,,,,90,92,92,0,0,0,,,0,1,,1024,768,1,,,1,0,1,
95,,,,,,,,,,,,,,,,,,,,,,90,95,95,0,0,0,,,0,1,,1024,768,2,,,1,0,1,
97,,,,,,,,,,,,,,,,,,,,,,97,97,97,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
98,,,,,,,,,,,,,,,,,,,,,,98,98,98,0,0,1,,,0,0,,1280,1024,3,,4,1,0,1,
100,,,,,,,,,,,,,,,,,,,,,,92,100,100,0,0,0,,,0,1,,1600,1200,3,4,4,1,0,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel,0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [0-1024),,,0,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1024-1536),,,1200,1800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memory [1536-),,,1800,65535,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [0-128),,,,,,0,140,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [128-256),,,,,,140,300,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [256-infinity),,,,,,300,530,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vid mem [512-infinity),,,,,,530,65535,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_level_0,,,,,,,,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level_1,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cpu_level 2,,,,,,,,,,3,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card/dxlevel specific stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,0x1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATI FireGL V3350,,,,,,,,,,,,,0x1002,0x7153,0x7153,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x715f,0x715f,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x7160,0x7160,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x7162,0x7162,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x7163,0x7163,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x7166,0x7166,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x7167,0x7167,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI FireGL V3300,,,,,,,,,,,,,0x1002,0x7172,0x7172,,,,,,,,,,,,,,,,,,800,600,0,0,0,1,,,
ATI FireGL V3350,,,,,,,,,,,,,0x1002,0x7173,0x7173,,,,,,,,,,,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x717f,0x717f,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x7181,0x7181,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x7183,0x7183,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X1450,,,,,,,,,,,,,0x1002,0x7186,0x7186,,,,,,1,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x7187,0x7187,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X2300,,,,,,,,,,,,,0x1002,0x7188,0x7188,,,,,,1,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X2300,,,,,,,,,,,,,0x1002,0x718a,0x718a,,,,,,1,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X1350,,,,,,,,,,,,,0x1002,0x718b,0x718b,,,,,,1,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x7193,0x7193,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X1350,,,,,,,,,,,,,0x1002,0x7196,0x7196,,,,,,1,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI FireMV 2250,,,,,,,,,,,,,0x1002,0x719b,0x719b,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1550,,,,,,,,,,,,,0x1002,0x719f,0x719f,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71a1,0x71a1,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x71a3,0x71a3,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x71a7,0x71a7,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71c0,0x71c0,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x71c1,0x71c1,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71c2,0x71c3,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI MOBILITY FireGL V5200,,,,,,,,,,,,,0x1002,0x71c4,0x71c4,,,,,,1,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility Radeon X1600,,,,,,,,,,,,,0x1002,0x71c5,0x71c5,,,,,,1,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x71c6,0x71c6,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71c7,0x71c7,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71cd,0x71cd,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x71ce,0x71ce,,,,,,,,,,1,,,,,,,,800,600,0,0,0,1,,,
ATI FireGL V3400,,,,,,,,,,,,,0x1002,0x71d2,0x71d2,,,,,,,,,92,1,,,,,,,,800,600,0,0,0,1,,,
ATI Mobility FireGL V5250,,,,,,,,,,,,,0x1002,0x71d4,0x71d4,,,,,,1,,,92,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Mobility Radeon X1700,,,,,,,,,,,,,0x1002,0x71d5,0x71d6,,,,,,1,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI FireGL V5200,,,,,,,,,,,,,0x1002,0x71da,0x71da,,,,,,,,,92,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Mobility Radeon X1700,,,,,,,,,,,,,0x1002,0x71de,0x71de,,,,,,1,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71e0,0x71e0,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x71e1,0x71e1,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71e2,0x71e3,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x71e6,0x71e7,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1600,,,,,,,,,,,,,0x1002,0x71ed,0x71ed,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1300,,,,,,,,,,,,,0x1002,0x71ee,0x71ee,,,,,,,,,,1,,,,,,,,1024,768,1,0,0,1,,,
ATI FireGL V3400,,,,,,,,,,,,,0x1002,0x71f2,0x71f2,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI FireGL V5200,,,,,,,,,,,,,0x1002,0x71fa,0x71fa,,,,,,,,,92,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Mobility Radeon HD 2300,,,,,,,,,,,,,0x1002,0x7210,0x7211,,,,,,1,,,,1,,,,,,,,1024,768,2,2,2,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7240,0x7240,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7244,0x7244,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7248,0x7248,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1900,,,,,,,,,,,,,0x1002,0x7249,0x7249,,,,,,,,,,1,,,,,,,,1024,768,2,2,2,1,,,
ATI Radeon X1900,,,,,,,,,,,,,0x1002,0x724b,0x724b,,,,,,,,,,1,,,,,,,,1024,768,2,2,2,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7260,0x7260,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7264,0x7264,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1900,,,,,,,,,,,,,0x1002,0x7269,0x7269,,,,,,,,,,1,,,,,,,,1024,768,2,2,2,1,,,
ATI Radeon X1900,,,,,,,,,,,,,0x1002,0x726b,0x726b,,,,,,,,,,1,,,,,,,,1024,768,2,2,2,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7280,0x7280,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Mobility Radeon X1900,,,,,,,,,,,,,0x1002,0x7284,0x7284,,,,,,1,,,,1,,,,,,,,1024,768,2,0,2,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x7288,0x7288,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x7291,0x7291,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x7293,0x7293,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x72a0,0x72a0,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1950,,,,,,,,,,,,,0x1002,0x72a8,0x72a8,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x72b1,0x72b1,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon X1650,,,,,,,,,,,,,0x1002,0x72b3,0x72b3,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Radeon 9000/9100 PRO IGP,,,,,,,,,,,,,0x1002,0x7834,0x7834,,,,,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
ATI Mobility Radeon 9000 IGP,,,,,,,,,,,,,0x1002,0x7835,0x7835,,,,,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
ATI Radeon Xpress 1200,,,,,,,,,,,,,0x1002,0x791e,0x791e,,,,,,,,,92,1,,,,,,,1,640,480,0,0,0,1,,,
ATI Radeon Xpress 1270,,,,,,,,,,,,,0x1002,0x791f,0x791f,,,,,,,,,92,1,,,,,,,1,640,480,0,0,0,1,,,
ATI Radeon Xpress 1200,,,,,,,,,,,,,0x1002,0x7941,0x7941,,,,,,,,,92,1,,,,,,,1,640,480,0,0,0,1,,,
ATI Radeon Xpress 1250,,,,,,,,,,,,,0x1002,0x7942,0x7942,,,,,,,,,92,1,,,,,,,1,640,480,0,0,0,1,,,
ATI Radeon 2100,,,,,,,,,,,,,0x1002,0x796e,0x796e,,,,,,,,,92,1,,,,,,,,1024,768,1,0,0,1,,,
ATI Radeon HD 2900 XT,,,,,,,,,,,,,0x1002,0x9400,0x9400,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon HD 2900,,,,,,,,,,,,,0x1002,0x9403,0x9403,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon HD 2900,,,,,,,,,,,,,0x1002,0x9405,0x9405,,,,,,,,,,1,,,,,,,,1280,1024,2,2,4,1,,,
ATI FireGL V8650,,,,,,,,,,,,,0x1002,0x940a,0x940a,,,,,,,,,92,1,,,,,,,,1280,1024,1,2,4,1,,,
ATI FireGL V8600,,,,,,,,,,,,,0x1002,0x940b,0x940b,,,,,,,,,92,1,,,,,,,,1280,1024,1,2,4,1,,,
ATI FireGL V7600,,,,,,,,,,,,,0x1002,0x940f,0x940f,,,,,,,,,92,1,,,,,,,,1280,1024,1,2,4,1,,,
ATI Radeon HD 4870 X2,,,,,,,,,,,,,0x1002,0x9440,0x9441,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4850,,,,,,,,,,,,,0x1002,0x9442,0x9442,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4850 X2,,,,,,,,,,,,,0x1002,0x9443,0x9443,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI FirePro V8750 ,,,,,,,,,,,,,0x1002,0x9444,0x9444,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI Mobility Radeon HD 4850,,,,,,,,,,,,,0x1002,0x944a,0x944a,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4830,,,,,,,,,,,,,0x1002,0x944c,0x944c,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4730,,,,,,,,,,,,,0x1002,0x944e,0x944e,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
AMD FireStream 9270,,,,,,,,,,,,,0x1002,0x9450,0x9450,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI FirePro V8700 ,,,,,,,,,,,,,0x1002,0x9456,0x9456,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI Mobility Radeon HD 4870,,,,,,,,,,,,,0x1002,0x945a,0x945a,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4890,,,,,,,,,,,,,0x1002,0x9460,0x9460,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4800 Series,,,,,,,,,,,,,0x1002,0x9462,0x9462,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 4650,,,,,,,,,,,,,0x1002,0x9480,0x9480,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 4670,,,,,,,,,,,,,0x1002,0x9488,0x9488,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4670,,,,,,,,,,,,,0x1002,0x9490,0x9490,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4650,,,,,,,,,,,,,0x1002,0x9495,0x9495,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4650,,,,,,,,,,,,,0x1002,0x9498,0x9498,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI FirePro V7750 ,,,,,,,,,,,,,0x1002,0x949c,0x949c,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI FirePro V5700 ,,,,,,,,,,,,,0x1002,0x949e,0x949e,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI FirePro V3750 ,,,,,,,,,,,,,0x1002,0x949f,0x949f,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI Mobility Radeon HD 4830,,,,,,,,,,,,,0x1002,0x94a0,0x94a0,,,,,,,,,,,,,,,,,,1900,1200,3,2,4,1,,,
ATI FirePro M7740,,,,,,,,,,,,,0x1002,0x94a3,0x94a3,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 4770,,,,,,,,,,,,,0x1002,0x94b3,0x94b3,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4750,,,,,,,,,,,,,0x1002,0x94b4,0x94b4,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4770,,,,,,,,,,,,,0x1002,0x94b5,0x94b5,,,,,,,,,,,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 2400,,,,,,,,,,,,,0x1002,0x94c1,0x94c1,,,,,,,,,,1,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 2400,,,,,,,,,,,,,0x1002,0x94c3,0x94c4,,,,,,,,,,1,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 2350,,,,,,,,,,,,,0x1002,0x94c7,0x94c7,,,,,,,,,,1,,,,,,,,800,600,1,1,1,1,,,
ATI Mobility Radeon HD 2400,,,,,,,,,,,,,0x1002,0x94c8,0x94c9,,,,,,1,,,,1,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 2400,,,,,,,,,,,,,0x1002,0x94cc,0x94cc,,,,,,,,,,1,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 3870,,,,,,,,,,,,,0x1002,0x9500,0x9501,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 3850,,,,,,,,,,,,,0x1002,0x9504,0x9504,,,,,,1,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 3850,,,,,,,,,,,,,0x1002,0x9505,0x9505,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 3850 X2,,,,,,,,,,,,,0x1002,0x9506,0x9506,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 3870,,,,,,,,,,,,,0x1002,0x9508,0x9509,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 3870,,,,,,,,,,,,,0x1002,0x950f,0x950f,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI FireGL V7700,,,,,,,,,,,,,0x1002,0x9511,0x9511,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 3850,,,,,,,,,,,,,0x1002,0x9513,0x9513,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 3850,,,,,,,,,,,,,0x1002,0x9515,0x9515,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4550,,,,,,,,,,,,,0x1002,0x9540,0x9540,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 4350,,,,,,,,,,,,,0x1002,0x954f,0x954f,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 4300,,,,,,,,,,,,,0x1002,0x9552,0x9552,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 4570,,,,,,,,,,,,,0x1002,0x9553,0x9553,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Mobility Radeon HD 4550,,,,,,,,,,,,,0x1002,0x9555,0x9555,,,,,,,,,,1,,,,,,,,1900,1200,3,4,4,1,,,
ATI Radeon HD 2600,,,,,,,,,,,,,0x1002,0x9580,0x9580,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Mobility Radeon HD 2600,,,,,,,,,,,,,0x1002,0x9581,0x9581,,,,,,1,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Mobility Radeon HD 2600,,,,,,,,,,,,,0x1002,0x9583,0x9583,,,,,,1,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 2600,,,,,,,,,,,,,0x1002,0x9586,0x958a,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI FireGL V5600,,,,,,,,,,,,,0x1002,0x958c,0x958c,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI FireGL V3600,,,,,,,,,,,,,0x1002,0x958d,0x958d,,,,,,,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Mobility Radeon HD 3650 ,,,,,,,,,,,,,0x1002,0x9591,0x9591,,,,,,1,,,,1,,,,,,,,1024,768,1,0,2,1,,,
ATI Mobility FireGL V5725,,,,,,,,,,,,,0x1002,0x9593,0x9593,,,,,,,,,,,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 3650,,,,,,,,,,,,,0x1002,0x9596,0x9598,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 3600 Series,,,,,,,,,,,,,0x1002,0x9599,0x9599,,,,,,,,,,,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 3470,,,,,,,,,,,,,0x1002,0x95c0,0x95c0,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Mobility Radeon HD 3430,,,,,,,,,,,,,0x1002,0x95c2,0x95c2,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Mobility Radeon HD 3470,,,,,,,,,,,,,0x1002,0x95c4,0x95c4,,,,,,1,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 3450,,,,,,,,,,,,,0x1002,0x95c5,0x95c5,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 4350,,,,,,,,,,,,,0x1002,0x95c6,0x95c6,,,,,,,,,,,,,,,,,,1280,1024,2,2,4,1,,,
ATI FirePro V3700,,,,,,,,,,,,,0x1002,0x95cc,0x95cc,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI FirePro 2450,,,,,,,,,,,,,0x1002,0x95cd,0x95cd,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI FireMV 2260,,,,,,,,,,,,,0x1002,0x95cf,0x95cf,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
ATI Radeon HD 3200,,,,,,,,,,,,,0x1002,0x9610,0x9610,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon 3100,,,,,,,,,,,,,0x1002,0x9611,0x9611,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 3200,,,,,,,,,,,,,0x1002,0x9612,0x9612,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon 3100,,,,,,,,,,,,,0x1002,0x9613,0x9613,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
ATI Radeon HD 3300,,,,,,,,,,,,,0x1002,0x9614,0x9614,,,,,,,,,,1,,,,,,,,1024,768,1,0,4,1,,,
AMD 760G,,,,,,,,,,,,,0x1002,0x9616,0x9616,,,,,,,,,,,,,,,,,,800,600,1,1,1,1,,,
AMD Llano,,,,,,,,,,,,,0x1002,0x9640,0x9640,,,,,,,,,,,,,,,,,,1600,1200,2,1,2,1,,,
ATI Radeon HD 4200,,,,,,,,,,,,,0x1002,0x9710,0x9710,,,,,,,,,,,,,,,,,,1280,1024,2,2,4,1,,,
ATI Mobility Radeon HD 4200,,,,,,,,,,,,,0x1002,0x9712,0x9712,,,,,,,,,,,,,,,,,,1280,1024,2,2,4,1,,,
ATI Mobility Radeon 4100,,,,,,,,,,,,,0x1002,0x9713,0x9713,,,,,,,,,,,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon HD 4290,,,,,,,,,,,,,0x1002,0x9714,0x9714,,,,,,,,,,,,,,,,,,1280,1024,2,2,4,1,,,
ATI Radeon HD 4250,,,,,,,,,,,,,0x1002,0x9715,0x9715,,,,,,,,,,,,,,,,,,1280,1024,2,2,4,1,,,
NVidia Unknown,,,,,,,,,,,,,0x10de,0x0000,0xffff,12,6658,12,6658,1,,,,,,,1,,,0,,,1280,1024,2,0,0,1,,,
NVIDIA GeForce FX 5900,,,,,,,,,,,,,0x10de,0x0001,0x0001,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVIDIA TNT,,,,,,,,,,,,,0x10de,0x0020,0x0020,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVIDIA TNT2,,,,,,,,,,,,,0x10de,0x0028,0x0029,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVIDIA GeForce2 MX,,,,,,,,,,,,,0x10de,0x002b,0x002b,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVIDIA TNT,,,,,,,,,,,,,0x10de,0x002c,0x002c,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVIDIA TNT2,,,,,,,,,,,,,0x10de,0x002d,0x002d,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVIDIA TNT2,,,,,,,,,,,,,0x10de,0x002f,0x002f,12,6658,12,6658,,,,,,,,,,,,,1,640,480,0,0,0,1,,,
NVidia GeForce 6800,,,,,,,,,,,,,0x10de,0x0040,0x0048,12,6658,12,6658,,,,,,1,,1,,1,0,,1,640,480,0,0,0,1,,,
NVidia NV40G,,,,,,,,,,,,,0x10de,0x0049,0x0049,12,6658,12,6658,,,,,,1,,1,,,0,,,1024,768,0,0,0,1,,,
